origen_aseguradora,id_original,marca,modelo,anio,version_original,transmision,activo
ELPOTOSI,38932,ACURA,RDX,2018,Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,39836,ACURA,RDX,2019,TECH Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,39837,ACURA,RDX,2019,A-SPEC Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,40589,ACURA,RDX,2020,A-SPEC Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,40588,ACURA,RDX,2020,TECH Aut 0 Ton 5 Ocup 5 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,49173,ACURA,RDX,2021,"A-SPECAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,49172,ACURA,RDX,2021,"TECHAUT 5 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,49174,ACURA,RDX,2022,"ADVANCEAUT 5 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,49175,ACURA,RDX,2023,"ADVANCEAUT 5 PTAS 5 OCUP , 6 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,34283,ACURA,RLX,2014,3.5L I-VTEC NAVI Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,35501,ACURA,TLX,2015,TECH 2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,35502,ACURA,TLX,2015,ADVANCE Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,36781,ACURA,TLX,2016,ADVANCE Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,36780,ACURA,TLX,2016,TECH 2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,37937,ACURA,TLX,2017,ADVANCE Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,49703,ACURA,TLX,2017,"TECH 2.4LAUT 4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,38935,ACURA,TLX,2018,ADVANCE Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,38936,ACURA,TLX,2018,A-SPEC Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,39839,ACURA,TLX,2019,A-SPEC Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,43916,ACURA,TLX,2020,A 0 TON 5 OCUP 4 PTAS V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,49704,ACURA,TLX,2021,"ADVANCE L4AUT 4 PTAS 5 OCUP , 4 CIL, ABS, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,23308,ACURA,TSX,2006,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,27926,ACURA,TSX,2009,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,29297,ACURA,TSX,2010,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,29298,ACURA,TSX,2010,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,30577,ACURA,TSX,2011,3.5L Aut 0 Ton 5 Ocup 4 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,30576,ACURA,TSX,2011,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,31819,ACURA,TSX,2012,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,33058,ACURA,TSX,2013,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,35496,ACURA,TSX,2015,2.4L Aut 0 Ton 5 Ocup 4 ptas L4 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,29299,ACURA,ZDX,2010,CROSSOVER 3.7L Aut 0 Ton 5 Ocup 5 ptas V6 ABS CA CE PIEL CD CQ CB,AUTO,1
ELPOTOSI,50294,ACURA,ZDX,2010,"LEG. SPORT, STD 4 PTAS 5 OCUP , 6 CIL, TELA",MANUAL,1
ELPOTOSI,46376,ALFA ROMEO,147,2004,"2.0 LST SELESPEEDAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46374,ALFA ROMEO,147,2004,"2.0 LTS. SELESPEEDAUT 2 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
ELPOTOSI,46378,ALFA ROMEO,147,2004,"2.0 LTS. SELESPEED SPORTAUT 2 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46381,ALFA ROMEO,147,2004,"2.0 LTS. SELESPEED SPORTAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, Q/C, B/A",AUTO,1
ELPOTOSI,46383,ALFA ROMEO,147,2004,"2.0 LTS SELESPEED SRAUT 4 PTAS 5 OCUP , 4 CIL, A/A, E/E, PIEL, B/A",AUTO,1
